Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),399,1969,2071,6.0,6.3
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),680,1937,2006,5.5,5.7
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2533,1940,2021,5.6,5.8
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),490,2019,2130,5.9,5.8
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2166,1945,2025,5.5,5.6
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),832,1934,2015,5.3,5.4
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),844,1911,1971,5.4,5.6
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1292,1694,1779,5.4,5.7
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),170,1753,1829,5.5,5.7
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1012,1751,1836,5.6,5.9
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),310,1766,1833,6.0,6.3
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),532,1742,1841,5.4,5.7
