Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),13,0.134,0.133,0.121,0.210,0.172,0.094,0.049,0.046,0.041,0.083,0.288,0.310,0.217,0.102,0.913,0.027,0.006,0.017,0.000,0.015,0.022,0.043,0.357,0.643,0.190,0.249
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),18,0.119,0.126,0.136,0.209,0.160,0.094,0.057,0.046,0.053,0.077,0.284,0.327,0.222,0.090,0.921,0.020,0.005,0.019,0.000,0.017,0.018,0.039,0.385,0.615,0.179,0.301
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),34,0.114,0.130,0.131,0.213,0.174,0.103,0.045,0.044,0.046,0.079,0.308,0.317,0.208,0.088,0.918,0.017,0.004,0.017,0.000,0.020,0.024,0.053,0.373,0.627,0.182,0.282
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),7,0.130,0.150,0.141,0.211,0.194,0.097,0.030,0.034,0.013,0.084,0.374,0.335,0.159,0.048,0.942,0.007,0.008,0.011,0.000,0.017,0.015,0.047,0.500,0.500,0.255,0.378
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),29,0.116,0.133,0.128,0.217,0.171,0.101,0.045,0.043,0.046,0.082,0.312,0.319,0.202,0.085,0.918,0.016,0.005,0.017,0.000,0.021,0.023,0.052,0.367,0.633,0.181,0.275
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),7,0.130,0.124,0.124,0.198,0.180,0.113,0.039,0.046,0.046,0.084,0.297,0.308,0.206,0.105,0.885,0.030,0.006,0.017,0.000,0.030,0.032,0.077,0.278,0.722,0.145,0.184
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),15,0.104,0.129,0.124,0.230,0.155,0.098,0.054,0.045,0.061,0.080,0.291,0.316,0.220,0.093,0.923,0.014,0.003,0.020,0.000,0.018,0.022,0.044,0.348,0.652,0.165,0.271
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),100,0.127,0.130,0.136,0.207,0.168,0.091,0.056,0.048,0.037,0.081,0.285,0.327,0.217,0.090,0.907,0.030,0.005,0.022,0.000,0.016,0.020,0.049,0.431,0.569,0.220,0.315
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),30,0.115,0.137,0.143,0.214,0.182,0.096,0.049,0.042,0.022,0.092,0.319,0.335,0.178,0.076,0.900,0.021,0.002,0.025,0.000,0.022,0.030,0.086,0.452,0.548,0.248,0.313
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),86,0.130,0.133,0.138,0.205,0.172,0.089,0.055,0.044,0.034,0.083,0.292,0.329,0.209,0.087,0.917,0.025,0.005,0.020,0.000,0.014,0.019,0.047,0.434,0.566,0.223,0.316
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),29,0.136,0.138,0.120,0.221,0.166,0.081,0.055,0.045,0.038,0.082,0.283,0.312,0.223,0.100,0.934,0.024,0.005,0.017,0.000,0.005,0.015,0.022,0.409,0.591,0.220,0.292
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),27,0.141,0.122,0.154,0.181,0.167,0.088,0.060,0.046,0.041,0.074,0.274,0.341,0.226,0.085,0.918,0.029,0.008,0.017,0.001,0.014,0.013,0.032,0.440,0.560,0.200,0.344
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4596,0.153,0.145,0.138,0.196,0.142,0.090,0.051,0.047,0.038,0.097,0.255,0.301,0.226,0.121,0.765,0.086,0.009,0.082,0.001,0.026,0.031,0.064,0.348,0.652,0.166,0.261
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),1278,0.139,0.138,0.134,0.202,0.150,0.096,0.054,0.048,0.039,0.089,0.262,0.310,0.225,0.114,0.811,0.066,0.009,0.066,0.000,0.021,0.027,0.054,0.352,0.648,0.164,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),4292,0.151,0.144,0.137,0.197,0.142,0.091,0.051,0.048,0.039,0.096,0.256,0.302,0.226,0.120,0.770,0.084,0.009,0.080,0.001,0.026,0.030,0.063,0.349,0.651,0.166,0.262
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),1779,0.151,0.144,0.138,0.200,0.143,0.090,0.050,0.046,0.038,0.097,0.262,0.304,0.222,0.115,0.771,0.081,0.009,0.079,0.001,0.028,0.031,0.068,0.354,0.646,0.170,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),1235,0.163,0.150,0.140,0.190,0.132,0.087,0.050,0.048,0.040,0.102,0.241,0.291,0.233,0.133,0.727,0.107,0.008,0.097,0.001,0.027,0.033,0.067,0.338,0.662,0.164,0.253
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),3670,0.148,0.142,0.136,0.197,0.142,0.092,0.052,0.050,0.041,0.092,0.251,0.298,0.232,0.127,0.779,0.083,0.009,0.075,0.000,0.024,0.030,0.061,0.344,0.656,0.163,0.258
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),1047,0.134,0.133,0.132,0.200,0.153,0.099,0.055,0.052,0.042,0.084,0.259,0.310,0.231,0.116,0.825,0.064,0.009,0.056,0.000,0.020,0.026,0.051,0.351,0.649,0.161,0.266
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),3404,0.146,0.141,0.136,0.197,0.142,0.093,0.053,0.050,0.042,0.091,0.252,0.300,0.232,0.125,0.784,0.081,0.009,0.073,0.000,0.024,0.029,0.060,0.345,0.655,0.163,0.259
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1274,0.144,0.142,0.137,0.198,0.144,0.092,0.052,0.050,0.041,0.093,0.259,0.302,0.227,0.119,0.788,0.073,0.009,0.074,0.000,0.026,0.030,0.064,0.354,0.646,0.168,0.266
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1084,0.159,0.148,0.139,0.191,0.131,0.089,0.051,0.050,0.042,0.096,0.236,0.288,0.239,0.141,0.737,0.106,0.008,0.090,0.001,0.026,0.032,0.063,0.330,0.670,0.158,0.246
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),7088,0.159,0.148,0.140,0.199,0.141,0.087,0.048,0.043,0.035,0.104,0.261,0.304,0.218,0.113,0.749,0.090,0.009,0.091,0.001,0.028,0.032,0.068,0.353,0.647,0.172,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),1900,0.147,0.146,0.138,0.202,0.146,0.091,0.051,0.044,0.035,0.097,0.267,0.309,0.216,0.111,0.789,0.070,0.008,0.081,0.001,0.022,0.029,0.057,0.354,0.646,0.169,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6681,0.158,0.148,0.139,0.199,0.142,0.087,0.048,0.044,0.035,0.103,0.262,0.304,0.219,0.112,0.752,0.089,0.009,0.089,0.001,0.028,0.032,0.068,0.354,0.646,0.172,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),3140,0.159,0.147,0.139,0.202,0.142,0.087,0.047,0.043,0.034,0.102,0.265,0.305,0.218,0.110,0.754,0.089,0.009,0.084,0.001,0.031,0.032,0.072,0.354,0.646,0.172,0.265
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),1641,0.169,0.153,0.141,0.188,0.136,0.083,0.047,0.046,0.037,0.113,0.249,0.296,0.223,0.119,0.708,0.110,0.009,0.108,0.001,0.030,0.034,0.073,0.354,0.646,0.174,0.266
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2078,0.129,0.128,0.127,0.199,0.147,0.103,0.060,0.058,0.049,0.072,0.204,0.279,0.292,0.153,0.798,0.075,0.012,0.043,0.000,0.038,0.034,0.078,0.307,0.693,0.151,0.220
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),400,0.113,0.119,0.125,0.200,0.151,0.110,0.063,0.063,0.056,0.064,0.202,0.283,0.297,0.154,0.827,0.058,0.012,0.038,0.000,0.033,0.032,0.072,0.311,0.689,0.149,0.224
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1814,0.129,0.130,0.127,0.198,0.147,0.102,0.060,0.058,0.049,0.072,0.205,0.281,0.288,0.154,0.801,0.074,0.012,0.043,0.000,0.037,0.033,0.076,0.306,0.694,0.150,0.220
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),624,0.130,0.130,0.126,0.199,0.145,0.104,0.059,0.058,0.049,0.072,0.205,0.283,0.287,0.153,0.800,0.075,0.011,0.043,0.000,0.037,0.034,0.074,0.311,0.689,0.151,0.224
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),790,0.136,0.136,0.129,0.198,0.146,0.096,0.058,0.056,0.045,0.077,0.206,0.278,0.285,0.154,0.787,0.081,0.012,0.046,0.000,0.040,0.034,0.080,0.300,0.700,0.150,0.214
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1824,0.130,0.128,0.127,0.199,0.147,0.103,0.059,0.059,0.048,0.074,0.205,0.279,0.290,0.152,0.794,0.076,0.012,0.044,0.000,0.040,0.034,0.081,0.308,0.692,0.153,0.220
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),297,0.115,0.122,0.124,0.201,0.151,0.107,0.063,0.063,0.054,0.069,0.204,0.283,0.293,0.151,0.819,0.058,0.013,0.038,0.000,0.038,0.034,0.082,0.318,0.682,0.155,0.229
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1575,0.129,0.130,0.127,0.197,0.147,0.101,0.060,0.060,0.049,0.073,0.205,0.282,0.287,0.153,0.797,0.075,0.012,0.044,0.000,0.038,0.034,0.078,0.307,0.693,0.152,0.221
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),492,0.127,0.128,0.126,0.197,0.147,0.105,0.059,0.060,0.051,0.072,0.206,0.284,0.285,0.153,0.800,0.075,0.010,0.045,0.000,0.036,0.034,0.072,0.311,0.689,0.152,0.225
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),785,0.136,0.134,0.128,0.197,0.145,0.097,0.059,0.058,0.046,0.076,0.205,0.280,0.285,0.154,0.787,0.081,0.012,0.046,0.000,0.040,0.034,0.080,0.300,0.700,0.150,0.215
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2763,0.128,0.128,0.128,0.200,0.147,0.103,0.060,0.057,0.049,0.070,0.204,0.279,0.293,0.154,0.806,0.073,0.012,0.041,0.000,0.035,0.033,0.072,0.305,0.695,0.149,0.219
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),676,0.111,0.115,0.126,0.198,0.151,0.113,0.064,0.063,0.059,0.057,0.200,0.284,0.301,0.158,0.832,0.059,0.012,0.039,0.000,0.028,0.030,0.060,0.302,0.698,0.141,0.217
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2456,0.129,0.130,0.127,0.200,0.147,0.102,0.059,0.057,0.049,0.071,0.204,0.279,0.291,0.155,0.805,0.073,0.012,0.041,0.000,0.036,0.033,0.073,0.304,0.696,0.148,0.218
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),980,0.134,0.133,0.126,0.201,0.142,0.103,0.058,0.056,0.047,0.074,0.205,0.280,0.287,0.154,0.801,0.074,0.013,0.039,0.000,0.039,0.034,0.077,0.309,0.691,0.151,0.223
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),801,0.137,0.141,0.129,0.199,0.148,0.093,0.057,0.051,0.045,0.078,0.206,0.273,0.289,0.154,0.788,0.082,0.012,0.045,0.000,0.040,0.033,0.079,0.300,0.700,0.151,0.213
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1330,0.193,0.167,0.149,0.196,0.131,0.072,0.039,0.030,0.023,0.155,0.289,0.295,0.175,0.086,0.601,0.123,0.011,0.184,0.001,0.040,0.040,0.093,0.387,0.613,0.204,0.293
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),234,0.177,0.158,0.143,0.195,0.137,0.080,0.047,0.035,0.028,0.141,0.276,0.298,0.190,0.095,0.662,0.105,0.009,0.155,0.000,0.034,0.035,0.082,0.380,0.620,0.197,0.288
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1133,0.190,0.165,0.148,0.197,0.131,0.074,0.040,0.031,0.024,0.151,0.288,0.296,0.178,0.087,0.609,0.121,0.011,0.180,0.001,0.039,0.039,0.090,0.385,0.615,0.202,0.291
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),338,0.180,0.161,0.146,0.203,0.130,0.081,0.042,0.032,0.025,0.142,0.284,0.296,0.188,0.090,0.642,0.111,0.010,0.162,0.000,0.037,0.038,0.086,0.382,0.618,0.196,0.287
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),561,0.199,0.171,0.151,0.197,0.130,0.067,0.036,0.028,0.021,0.161,0.295,0.294,0.167,0.083,0.570,0.132,0.011,0.202,0.001,0.042,0.042,0.097,0.390,0.610,0.207,0.295
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1195,0.193,0.167,0.150,0.199,0.132,0.071,0.038,0.029,0.021,0.157,0.293,0.295,0.170,0.085,0.594,0.122,0.011,0.191,0.001,0.041,0.040,0.095,0.393,0.607,0.209,0.297
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),180,0.179,0.157,0.141,0.204,0.135,0.078,0.046,0.033,0.027,0.155,0.280,0.294,0.181,0.090,0.647,0.109,0.010,0.160,0.000,0.038,0.036,0.088,0.392,0.608,0.207,0.298
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1007,0.189,0.166,0.149,0.201,0.132,0.073,0.039,0.029,0.022,0.154,0.293,0.294,0.173,0.086,0.603,0.118,0.011,0.187,0.001,0.040,0.040,0.092,0.390,0.610,0.206,0.295
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),276,0.176,0.156,0.145,0.205,0.132,0.084,0.044,0.033,0.025,0.135,0.285,0.296,0.192,0.092,0.653,0.106,0.011,0.154,0.001,0.037,0.038,0.084,0.382,0.618,0.194,0.287
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),551,0.201,0.173,0.153,0.196,0.131,0.066,0.034,0.026,0.020,0.162,0.301,0.295,0.161,0.081,0.563,0.128,0.011,0.213,0.001,0.042,0.042,0.097,0.394,0.606,0.211,0.298
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1696,0.193,0.166,0.146,0.195,0.128,0.073,0.041,0.033,0.025,0.150,0.281,0.295,0.185,0.089,0.619,0.125,0.010,0.170,0.000,0.037,0.039,0.089,0.377,0.623,0.196,0.285
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),380,0.175,0.159,0.145,0.184,0.138,0.082,0.049,0.037,0.031,0.122,0.271,0.304,0.202,0.101,0.678,0.101,0.008,0.149,0.001,0.030,0.033,0.074,0.366,0.634,0.184,0.276
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1472,0.190,0.164,0.146,0.195,0.129,0.075,0.042,0.033,0.026,0.147,0.280,0.296,0.187,0.090,0.622,0.125,0.010,0.167,0.000,0.037,0.039,0.088,0.377,0.623,0.194,0.285
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),504,0.186,0.168,0.147,0.200,0.126,0.078,0.040,0.030,0.025,0.152,0.283,0.295,0.183,0.087,0.622,0.119,0.010,0.173,0.000,0.038,0.038,0.089,0.381,0.619,0.198,0.286
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),587,0.203,0.163,0.145,0.199,0.125,0.068,0.039,0.033,0.025,0.159,0.283,0.291,0.181,0.086,0.587,0.144,0.012,0.172,0.001,0.041,0.043,0.095,0.380,0.620,0.197,0.289
