Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),562,0.142,0.140,0.137,0.194,0.147,0.095,0.055,0.051,0.039,0.089,0.250,0.299,0.235,0.127,0.796,0.074,0.009,0.071,0.000,0.021,0.029,0.054,0.349,0.651,0.164,0.262
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),3872,0.150,0.143,0.139,0.197,0.143,0.092,0.051,0.047,0.038,0.095,0.258,0.304,0.225,0.118,0.778,0.080,0.009,0.077,0.001,0.025,0.030,0.062,0.350,0.650,0.167,0.262
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),1799,0.145,0.140,0.137,0.201,0.146,0.095,0.051,0.047,0.038,0.091,0.266,0.310,0.221,0.112,0.806,0.068,0.009,0.065,0.001,0.023,0.028,0.058,0.352,0.648,0.165,0.264
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),1511,0.159,0.147,0.142,0.196,0.137,0.087,0.048,0.046,0.038,0.102,0.253,0.297,0.225,0.123,0.738,0.098,0.009,0.092,0.001,0.029,0.033,0.069,0.347,0.653,0.169,0.259
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),3561,0.146,0.141,0.138,0.196,0.143,0.094,0.052,0.050,0.040,0.093,0.253,0.299,0.230,0.125,0.782,0.080,0.009,0.075,0.000,0.024,0.030,0.060,0.345,0.655,0.163,0.259
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),471,0.139,0.138,0.136,0.192,0.149,0.097,0.055,0.053,0.041,0.087,0.248,0.299,0.238,0.128,0.808,0.071,0.009,0.063,0.000,0.021,0.028,0.054,0.347,0.653,0.162,0.260
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),3034,0.144,0.140,0.138,0.197,0.144,0.095,0.052,0.050,0.040,0.092,0.256,0.303,0.228,0.121,0.790,0.076,0.009,0.072,0.000,0.024,0.029,0.059,0.348,0.652,0.164,0.261
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1405,0.137,0.136,0.135,0.201,0.149,0.098,0.053,0.050,0.041,0.088,0.265,0.310,0.224,0.113,0.816,0.063,0.009,0.063,0.000,0.022,0.027,0.056,0.354,0.646,0.164,0.267
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1158,0.155,0.145,0.141,0.198,0.136,0.089,0.049,0.047,0.040,0.099,0.249,0.295,0.229,0.128,0.750,0.094,0.009,0.087,0.001,0.027,0.032,0.066,0.342,0.658,0.165,0.255
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6915,0.159,0.146,0.141,0.196,0.140,0.088,0.049,0.045,0.036,0.101,0.260,0.304,0.220,0.115,0.755,0.090,0.009,0.086,0.001,0.027,0.032,0.065,0.352,0.648,0.170,0.264
